Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
57,random graphs/ratio_d3/r1.5k24n16/graph7.lgbin,1838,465,25,52,"[1, 2, 1, 1, 2, 2, 2, 0, 0, 1, 2, 2, 2, 1, 1, 1, 1, 2, 0, 2, 2, 0, 2, 2, 2, 0, 1, 2, 2, 2, 2, 1, 3, 1, 2, 2, 2, 0, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 1, 0, 2, 5, 1, 1, 3, 2, 0, 1, 1, 1, 1, 3, 1, 2, 2, 2, 3, 0, 2, 1, 1, 1, 1, 1, 3, 2, 4, 2, 0, 1, 5, 1, 1, 1, 2, 3, 3, 1, 0, 0, 2, 1, 2, 0, 0, 1, 1, 0, 1, 10, 0, 2, 2, 3, 4, 0, 0, 1, 2, 0, 1, 2, 1, 1, 2, 1, 3, 0, 0, 4, 3, 0, 0, 1, 4, 3, 4, 3, 1, 4, 1, 4, 1, 1, 2, 0, 0, 3, 0, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1, 2, 0, 3, 1, 2, 1, 4, 1, 1, 2, 1, 1, 1, 2, 1, 2, 0, 0, 1, 1, 1, 1, 2, 1, 1, 3, 1, 3, 2, 1, 2, 1, 1, 3, 2, 2, 2, 1, 4, 3, 2, 1, 2, 3, 4, 2, 2, 0, 1, 1, 4, 1, 0, 2, 3, 1, 1, 3, 3, 1, 3, 3, 3, 1, 1, 4, 2, 3, 4, 6, 3, 2, 1, 3, 4, 3, 3, 5, 0, 1, 2, 3, 2, 3, 4, 3, 3, 1, 2, 2, 2, 1, 2, 7, 2, 3, 4, 2, 0, 3, 2, 5, 2, 1, 3, 2, 1, 2, 3, 4, 1, 4, 4, 3, 2, 1, 2, 1, 2, 4, 1, 5, 5, 4, 2, 4, 3, 1, 3, 2, 4, 2, 6, 4, 2, 2, 4, 2, 3, 6, 1, 5, 2, 2, 2, 6, 1, 1, 2, 2, 2, 2, 7, 1, 4, 2, 1, 2, 2, 2, 4, 2, 1, 1, 3, 3, 1, 2, 1, 3, 3, 3, 3, 2, 1, 1, 4, 0, 3, 2, 3, 1, 1, 2, 1, 4, 2, 1, 1, 3, 1, 3, 2, 2, 4, 4, 3, 1, 3, 1, 3, 0, 3, 0, 2, 1]"
58,random graphs/ratio_d3/r1.5k24n16/graph8.lgbin,1838,481,20,29,"[1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 0, 2, 0, 3, 1, 0, 1, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 3, 2, 1, 3, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 2, 2, 3, 1, 1, 1, 2, 1, 1, 1, 2, 2, 0, 1, 3, 2, 2, 6, 3, 4, 2, 3, 0, 1, 0, 1, 0, 1, 3, 1, 1, 2, 1, 2, 0, 2, 4, 2, 3, 3, 1, 2, 1, 1, 2, 4, 3, 2, 2, 0, 1, 4, 3, 2, 4, 0, 3, 1, 0, 2, 3, 1, 1, 1, 1, 1, 5, 1, 5, 2, 1, 1, 3, 2, 1, 5, 2, 1, 2, 5, 2, 2, 3, 3, 1, 0, 1, 1, 3, 0, 0, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 0, 1, 1, 2, 1, 2, 1, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 2, 2, 1, 2, 0, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 0, 1, 2, 1, 1, 3, 4, 1, 2, 2, 3, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 0, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 3, 1, 1, 3, 1, 3, 1, 1, 0, 0, 3, 1, 2, 2, 1, 0, 3, 1, 3, 3, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 1, 3, 2, 5, 2, 1, 1, 1, 6, 0, 2, 1, 2, 2, 2, 1, 3, 1, 1, 2, 1, 0, 1, 0, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 0, 0, 1, 2, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 2]"
59,random graphs/ratio_d3/r1.5k24n16/graph9.lgbin,1838,464,19,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 3, 0, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 3, 0, 1, 3, 1, 1, 2, 1, 0, 1, 2, 1, 1, 4, 2, 2, 2, 2, 2, 3, 2, 0, 2, 1, 3, 2, 3, 3, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 0, 2, 1, 1, 0, 2, 0, 2, 1, 1, 1, 2, 2, 1, 1, 3, 2, 0, 2, 1, 3, 3, 1, 0, 0, 2, 1, 1, 2, 2, 3, 2, 1, 2, 2, 3, 2, 2, 1, 2, 1, 1, 2, 3, 0, 3, 2, 2, 3, 0, 1, 2, 3, 2, 3, 1, 3, 0, 2, 1, 1, 1, 2, 1, 3, 2, 3, 0, 2, 2, 1, 2, 2, 1, 1, 1, 2, 0, 2, 2, 1, 1, 2, 2, 1, 1, 3, 1, 1, 0, 1, 2, 1, 1, 0, 1, 2, 1, 3, 0, 1, 0, 4, 3, 1, 3, 2, 2, 1, 2, 1, 0, 2, 2, 2, 2, 1, 2, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 0, 1, 2, 3, 2, 3, 1, 2, 1, 0, 1, 2, 1, 3, 3, 2, 1, 3, 2, 3, 3, 1, 2, 3, 1, 0, 2, 1, 2, 1, 0, 2, 2, 0, 2, 2, 2, 2, 1, 1, 3, 3, 3, 2, 3, 2, 2, 3, 1, 3, 2, 1, 1, 1, 4, 2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 1, 3, 3, 0, 2, 1, 3, 2, 3, 3, 2, 2, 1, 0, 2, 1, 2, 2, 2, 2, 1, 1, 2, 3, 1, 2, 1, 2, 1, 3, 2, 3, 1, 2, 1, 2, 0, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 0, 2]"
60,random graphs/ratio_d3/r1.5k24n16/graph10.lgbin,1838,340,17,25,"[0, 2, 1, 1, 1, 1, 2, 1, 2, 0, 2, 2, 0, 1, 2, 0, 1, 0, 0, 2, 1, 1, 2, 1, 3, 2, 1, 2, 1, 0, 1, 1, 3, 3, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 1, 1, 2, 2, 0, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 2, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 2, 2, 2, 2, 0, 0, 2, 2, 2, 0, 2, 1, 2, 1, 0, 0, 1, 2, 2, 1, 2, 1, 2, 5, 3, 2, 3, 2, 0, 2, 2, 5, 3, 2, 2, 2, 4, 2, 2, 0, 3, 1, 2, 4, 2, 3, 2, 0, 2, 3, 3, 4, 2, 2, 0, 1, 4, 2, 3, 2, 4, 4, 2, 2, 1, 1, 3, 1, 3, 2, 1, 3, 2, 3, 3, 2, 3, 0, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 2, 0, 1, 3, 1, 0, 0, 1, 0, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 2, 1, 2, 1, 0, 2, 2, 2, 2, 2, 1, 2, 3, 2, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 0, 1, 3, 1, 1, 2, 1, 1, 2, 0, 1, 3, 2, 2, 1, 2, 4, 2, 1, 1, 1, 2, 2, 2, 1, 1, 4, 0, 1, 3, 1, 1, 0, 2, 0, 1, 1, 1, 1, 1, 1, 1, 3, 0, 1, 3, 0, 1, 3, 1, 2, 1, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 0, 0, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 3, 1, 0, 0, 2, 1, 3, 1, 1, 1, 1, 1, 1]"
61,random graphs/ratio_d3/r1.5k24n16/graph11.lgbin,1838,1075,24,38,"[1, 3, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 2, 2, 3, 2, 1, 0, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 0, 2, 2, 4, 0, 1, 1, 3, 1, 1, 0, 1, 1, 1, 3, 1, 1, 0, 1, 3, 2, 2, 1, 2, 1, 2, 1, 0, 2, 1, 1, 1, 1, 3, 2, 2, 3, 3, 2, 0, 1, 2, 2, 2, 1, 1, 1, 0, 2, 2, 4, 0, 1, 1, 0, 1, 0, 0, 1, 3, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 0, 2, 1, 4, 4, 2, 1, 2, 2, 1, 2, 2, 0, 2, 1, 2, 1, 4, 1, 3, 1, 3, 1, 1, 2, 2, 1, 5, 1, 3, 1, 0, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 3, 3, 1, 3, 1, 3, 2, 1, 4, 3, 3, 4, 4, 1, 2, 1, 3, 2, 3, 1, 4, 2, 3, 1, 6, 3, 2, 1, 6, 1, 1, 1, 3, 2, 3, 3, 2, 4, 3, 2, 2, 3, 1, 2, 1, 4, 2, 3, 2, 4, 1, 1, 1, 0, 3, 2, 5, 3, 1, 1, 1, 2, 2, 3, 2, 1, 3, 1, 1, 2, 2, 4, 3, 1, 1, 1, 1, 0, 1, 3, 2, 4, 2, 2, 3, 4, 0, 0, 2, 2, 3, 2, 4, 1, 1, 0, 0, 3, 1, 2, 4, 1, 1, 0, 0, 0, 3, 1, 0, 1, 1, 0, 3, 3, 3, 1, 1, 0, 1, 1, 1, 0, 1, 3, 2, 1, 3, 1, 3, 1, 4, 1, 0, 1, 0, 1, 2, 1, 1, 1, 1, 2, 0, 1, 1, 1, 2, 1, 2, 1, 2, 2, 0, 2, 2, 1, 0, 1, 0, 1]"
62,random graphs/ratio_d3/r1.5k24n16/graph12.lgbin,1838,611,22,43,"[1, 3, 3, 1, 1, 1, 2, 2, 3, 3, 4, 4, 3, 2, 3, 2, 4, 2, 0, 2, 1, 2, 0, 1, 4, 4, 3, 3, 3, 2, 2, 3, 3, 1, 1, 4, 2, 5, 0, 0, 3, 2, 0, 1, 1, 4, 5, 3, 4, 1, 2, 2, 1, 3, 5, 0, 3, 3, 3, 1, 2, 0, 2, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 2, 1, 0, 1, 5, 1, 1, 2, 2, 2, 3, 6, 0, 4, 3, 2, 2, 3, 2, 5, 1, 3, 0, 1, 3, 2, 3, 2, 2, 1, 5, 3, 2, 2, 0, 1, 0, 1, 3, 3, 3, 2, 2, 3, 2, 2, 4, 2, 2, 1, 2, 1, 5, 5, 3, 2, 0, 1, 3, 2, 1, 4, 5, 4, 3, 1, 4, 3, 6, 5, 3, 1, 2, 4, 4, 1, 2, 4, 4, 3, 3, 4, 4, 3, 3, 2, 2, 1, 0, 0, 1, 1, 2, 0, 2, 3, 2, 4, 2, 1, 2, 1, 1, 4, 2, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 2, 3, 2, 0, 0, 1, 4, 3, 3, 0, 3, 5, 10, 3, 3, 2, 3, 4, 2, 1, 3, 2, 3, 2, 4, 4, 1, 3, 1, 2, 2, 2, 4, 1, 1, 1, 1, 2, 3, 3, 0, 1, 2, 5, 6, 1, 1, 3, 1, 0, 3, 3, 3, 3, 2, 3, 0, 1, 6, 3, 3, 2, 1, 2, 1, 0, 4, 2, 4, 1, 2, 1, 0, 1, 3, 0, 2, 2, 2, 1, 0, 1, 2, 1, 4, 1, 5, 2, 1, 0, 4, 1, 2, 1, 3, 1, 0, 3, 0, 3, 3, 5, 4, 1, 1, 3, 0, 2, 3, 1, 1, 2, 3, 2, 2, 1, 3, 0, 3, 3, 2, 2, 1, 0, 1, 1, 2, 1, 4, 4, 4, 0, 0, 4, 3, 3, 0, 1, 2, 0, 1, 2, 0, 3, 2, 2, 1, 3, 3, 0, 0, 4, 1, 1, 2, 1, 3, 3, 0, 3, 0, 3, 0, 0, 1, 4, 2, 2, 3, 2, 0]"
63,random graphs/ratio_d3/r1.5k24n16/graph13.lgbin,1838,222,22,36,"[2, 1, 2, 6, 2, 3, 3, 1, 3, 2, 2, 3, 6, 1, 1, 3, 3, 2, 2, 3, 3, 3, 2, 3, 1, 2, 1, 1, 2, 2, 1, 5, 5, 3, 1, 2, 3, 5, 5, 1, 5, 2, 4, 3, 2, 1, 2, 3, 4, 6, 7, 1, 1, 8, 3, 5, 1, 4, 4, 6, 2, 8, 3, 4, 2, 4, 1, 5, 4, 6, 3, 8, 4, 1, 0, 6, 0, 7, 2, 2, 2, 3, 5, 2, 2, 5, 2, 4, 6, 3, 2, 2, 2, 3, 4, 4, 3, 2, 5, 1, 2, 1, 4, 2, 0, 2, 3, 2, 2, 2, 1, 2, 3, 2, 3, 3, 2, 2, 2, 2, 1, 0, 2, 2, 2, 2, 4, 3, 2, 2, 2, 2, 5, 0, 1, 3, 1, 1, 2, 1, 2, 3, 1, 1, 1, 1, 1, 3, 0, 2, 2, 0, 1, 1, 1, 1, 3, 1, 1, 3, 3, 1, 4, 4, 1, 2, 1, 2, 3, 1, 1, 3, 1, 1, 1, 1, 2, 2, 1, 1, 3, 2, 3, 2, 2, 4, 1, 2, 2, 2, 1, 3, 5, 3, 2, 6, 2, 0, 3, 2, 2, 0, 2, 1, 1, 1, 2, 1, 5, 1, 1, 2, 1, 2, 1, 1, 0, 1, 1, 1, 3, 0, 3, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 0, 3, 0, 1, 1, 0, 2, 2, 2, 4, 1, 3, 2, 3, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 3, 1, 0, 1, 0, 3, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 1, 1, 1, 0, 1, 2, 1, 2, 1, 2, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 2, 2, 3, 1, 1, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 2, 1, 1, 1, 0, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 0, 1]"
64,random graphs/ratio_d3/r1.5k24n16/graph14.lgbin,1838,605,18,33,"[1, 2, 2, 2, 1, 1, 0, 2, 1, 2, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 0, 2, 2, 1, 2, 2, 2, 1, 1, 0, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 3, 3, 1, 3, 2, 2, 1, 0, 1, 1, 3, 2, 1, 1, 2, 2, 2, 1, 0, 2, 2, 2, 3, 2, 3, 4, 2, 3, 1, 2, 1, 1, 3, 3, 3, 4, 0, 5, 3, 2, 2, 1, 2, 2, 0, 1, 2, 3, 2, 3, 2, 1, 2, 4, 1, 3, 1, 3, 1, 1, 1, 3, 1, 1, 1, 3, 1, 2, 3, 2, 1, 1, 2, 2, 1, 1, 2, 1, 0, 3, 3, 2, 2, 1, 3, 2, 1, 4, 2, 2, 1, 4, 1, 2, 2, 3, 0, 2, 2, 2, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 2, 2, 2, 4, 4, 2, 1, 3, 2, 2, 3, 0, 1, 1, 3, 4, 1, 2, 1, 1, 1, 3, 2, 2, 2, 3, 3, 3, 2, 2, 3, 3, 2, 2, 0, 0, 2, 1, 2, 4, 1, 2, 2, 1, 3, 2, 3, 0, 0, 1, 0, 2, 1, 3, 2, 1, 1, 2, 2, 2, 2, 3, 3, 1, 2, 2, 2, 0, 2, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 0, 1, 3, 1, 2, 2, 3, 3, 1, 1, 3, 2, 2, 2, 1, 2, 3, 3, 3, 4, 0, 2, 2, 1, 2, 2, 3, 2, 1, 1, 2, 1, 1, 2, 1, 4, 2, 2, 4, 3, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 1, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 3, 2, 1, 1, 2, 1, 1, 0, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 3, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 3, 0, 3, 1, 2, 0, 1, 2, 1, 1, 1, 1, 1, 1, 0, 0, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 0, 0, 2, 0, 1, 1, 1, 0]"
65,random graphs/ratio_d3/r1.5k24n16/graph15.lgbin,1838,618,16,47,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 0, 3, 2, 4, 1, 1, 0, 1, 2, 1, 0, 1, 1, 1, 4, 1, 4, 2, 1, 2, 1, 1, 1, 0, 3, 1, 2, 1, 1, 4, 2, 1, 1, 2, 6, 1, 8, 6, 2, 2, 6, 1, 1, 1, 1, 3, 2, 5, 0, 2, 7, 3, 1, 3, 1, 3, 6, 5, 1, 1, 2, 2, 6, 0, 1, 5, 1, 0, 5, 6, 4, 1, 1, 4, 1, 1, 4, 4, 3, 2, 4, 1, 0, 4, 2, 0, 3, 3, 2, 4, 4, 4, 3, 5, 2, 3, 4, 1, 2, 2, 3, 4, 2, 5, 7, 2, 3, 5, 0, 4, 7, 5, 4, 3, 2, 3, 5, 1, 6, 1, 2, 2, 1, 2, 2, 2, 0, 2, 4, 4, 2, 2, 0, 8, 1, 1, 1, 1, 3, 2, 1, 4, 1, 1, 1, 3, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1, 2, 0, 2, 2, 2, 1, 6, 2, 1, 2, 0, 1, 2, 2, 2, 1, 0, 7, 1, 2, 0, 2, 1, 0, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 3, 2, 1, 1, 2, 2, 1, 3, 2, 2, 2, 2, 2, 4, 1, 1, 2, 3, 3, 0, 2, 2, 3, 1, 1, 2, 1, 1, 0, 0, 1, 3, 1, 0, 2, 1, 2, 2, 0, 2, 2, 1, 1, 3, 0, 2, 0, 0, 1, 0, 1, 2, 0, 3, 1, 1, 2, 1, 1, 1, 2, 1, 0, 2, 1, 0, 1, 0, 1, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0]"
66,random graphs/ratio_d3/r1.5k24n16/graph16.lgbin,1838,595,24,31,"[1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 2, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 2, 1, 2, 2, 1, 0, 1, 2, 3, 3, 1, 2, 2, 2, 1, 2, 0, 2, 0, 2, 2, 3, 2, 1, 2, 1, 2, 3, 2, 2, 2, 2, 3, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 3, 1, 3, 1, 1, 3, 3, 1, 1, 2, 1, 2, 1, 1, 0, 2, 4, 3, 1, 2, 3, 2, 0, 4, 0, 3, 2, 2, 1, 2, 1, 1, 2, 0, 2, 1, 3, 3, 3, 2, 1, 3, 3, 4, 1, 1, 1, 2, 1, 3, 2, 2, 4, 2, 0, 0, 1, 0, 0, 3, 2, 3, 2, 1, 1, 0, 1, 0, 1, 1, 0, 3, 1, 1, 1, 1, 1, 1, 1, 2, 0, 2, 1, 2, 2, 1, 1, 2, 1, 1, 0, 3, 2, 1, 1, 1, 4, 1, 1, 1, 4, 4, 2, 2, 1, 3, 2, 1, 1, 1, 1, 1, 2, 4, 2, 3, 2, 4, 4, 4, 1, 1, 3, 0, 3, 3, 2, 0, 1, 2, 1, 1, 1, 1, 1, 4, 3, 4, 2, 5, 2, 1, 1, 1, 4, 4, 3, 1, 3, 1, 0, 3, 2, 1, 1, 3, 2, 2, 3, 2, 2, 3, 3, 2, 2, 1, 0, 2, 1, 2, 1, 1, 4, 2, 0, 3, 3, 1, 4, 1, 0, 1, 1, 3, 2, 1, 1, 2, 2, 1, 0, 1, 3, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 1, 3, 1, 2, 1, 2, 1, 1, 3, 1, 2, 3, 2, 2, 2, 1, 1, 2, 2, 3, 1, 1, 3, 1, 3, 3, 1, 2, 1, 1, 2, 1, 2, 2, 3, 3, 1, 1, 1, 2, 1, 3, 1, 3, 1, 3, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 3, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1, 3, 4]"
67,random graphs/ratio_d3/r1.5k24n16/graph17.lgbin,1838,524,20,42,"[1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 0, 0, 0, 1, 1, 1, 3, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 0, 1, 1, 4, 1, 2, 2, 1, 2, 2, 1, 4, 0, 1, 2, 3, 1, 1, 1, 3, 2, 2, 2, 1, 1, 0, 2, 1, 3, 3, 1, 1, 1, 2, 2, 2, 3, 2, 2, 1, 2, 2, 2, 1, 3, 2, 1, 2, 2, 1, 2, 2, 1, 2, 3, 2, 2, 1, 4, 0, 2, 3, 2, 2, 1, 3, 1, 3, 1, 2, 2, 1, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 0, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 1, 2, 3, 1, 0, 3, 1, 0, 1, 1, 3, 2, 1, 0, 1, 1, 1, 3, 2, 2, 2, 1, 3, 2, 0, 1, 0, 3, 1, 0, 0, 2, 3, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 4, 1, 3, 4, 1, 2, 0, 1, 2, 2, 2, 1, 2, 0, 1, 2, 0, 1, 0, 1, 0, 1, 2, 0, 3, 0, 0, 1, 3, 1, 1, 2, 3, 1, 0, 2, 1, 1, 0, 2, 3, 1, 1, 1, 1, 1, 2, 12, 1, 2, 3, 0, 2, 1, 10, 9, 1, 1, 2, 2, 1, 2, 3, 1, 1, 1, 2, 1, 1, 3, 2, 3, 2, 2, 1, 3, 1, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 4, 3, 1, 1, 1, 3, 2, 1, 1, 1, 1, 3, 2, 2, 1, 2, 1, 1, 1, 2, 1, 3, 1, 3, 2]"
68,random graphs/ratio_d3/r1.5k24n16/graph18.lgbin,1838,529,26,32,"[2, 2, 3, 2, 3, 2, 2, 3, 3, 2, 2, 2, 3, 3, 2, 3, 2, 2, 2, 6, 4, 4, 2, 3, 3, 2, 5, 1, 2, 2, 2, 3, 3, 3, 3, 6, 0, 2, 4, 6, 3, 2, 4, 5, 2, 3, 2, 4, 1, 4, 4, 3, 3, 1, 3, 4, 3, 3, 3, 0, 0, 1, 2, 2, 1, 2, 0, 0, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 2, 2, 3, 3, 1, 1, 0, 3, 3, 1, 2, 1, 1, 1, 3, 2, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 4, 2, 1, 2, 3, 3, 1, 3, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 3, 1, 3, 2, 2, 1, 1, 1, 0, 1, 2, 2, 1, 1, 2, 2, 1, 1, 3, 1, 2, 1, 6, 2, 2, 2, 1, 2, 1, 2, 3, 0, 3, 1, 0, 1, 1, 2, 2, 3, 1, 2, 5, 1, 0, 1, 2, 1, 1, 1, 0, 2, 0, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1, 0, 0, 1, 3, 1, 1, 1, 1, 3, 2, 2, 2, 0, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 2, 3, 2, 5, 2, 1, 2, 2, 0, 1, 2, 2, 1, 1, 1, 2, 2, 2, 3, 2, 1, 2, 2, 2, 2, 1, 4, 1, 3, 1, 3, 2, 4, 2, 3, 2, 1, 1, 1, 1, 2, 1, 3, 2, 1, 0, 2, 1, 2, 3, 3, 1, 2, 2, 1, 2, 0, 0, 2, 3, 2, 0, 1, 3, 2, 2, 1, 2, 2, 0, 2, 1, 1, 1, 0, 1, 1, 3, 2, 2, 2, 3, 1, 2, 4, 0, 3, 2, 1, 2, 2, 1, 1, 3, 2, 1, 0, 1, 1, 0, 0, 0, 1, 0, 2, 0, 1, 2, 1, 3, 1, 2, 1, 1, 0, 0, 1]"
